id,radius,lat,lon,technology
nr1,700,39.434707,-0.330405,nr
nr2,700,39.433819,-0.327740,nr
nr3,700,39.432786,-0.324549,nr
nr4,700,39.432405,-0.324774,nr
nr5,700,39.432165,-0.324934,nr
nr6,700,39.431933,-0.325073,nr
nr7,700,39.431684,-0.325158,nr
nr8,700,39.431460,-0.325276,nr
nr9,700,39.431195,-0.325426,nr
nr10,700,39.430880,-0.325565,nr
nr11,700,39.430656,-0.325661,nr
nr12,700,39.430482,-0.325833,nr
nr13,700,39.430249,-0.325962,nr
nr14,700,39.429984,-0.326059,nr
nr15,700,39.429711,-0.326253,nr
nr16,700,39.429322,-0.326446,nr
nr17,700,39.428924,-0.326628,nr
nr18,700,39.431765,-0.321374,nr
nr19,700,39.430700,-0.318235,nr
nr20,700,39.430311,-0.318436,nr
nr21,700,39.430079,-0.318530,nr
nr22,700,39.429864,-0.318709,nr
nr23,700,39.429616,-0.318804,nr
nr24,700,39.429376,-0.318941,nr
nr25,700,39.429086,-0.319100,nr
nr26,700,39.428838,-0.319227,nr
nr27,700,39.428590,-0.319354,nr
nr28,700,39.428383,-0.319492,nr
nr29,700,39.428110,-0.319619,nr
nr30,700,39.427928,-0.319672,nr
nr31,700,39.427663,-0.319854,nr
nr32,700,39.427373,-0.320046,nr
nr33,700,39.427150,-0.320173,nr
nr34,700,39.426869,-0.320290,nr
nr35,700,39.429693,-0.315036,nr
nr36,700,39.428165,-0.311108,nr
lte37,8000,39.3754949,-0.3847054,lte
lte38,8000,39.5064248,-0.3323364,lte
lte39,8000,39.4415664,-0.3915718,lte
